model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn,is_rel
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,43,61355ce7e829,maintain personnel records,1321,9bc14bd09c21,2,0.8787560343742371,0.4085118174552917,3.173727035522461,0.2000000029802322,1.0,0.8590565323829651,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,45,aa03c0034762,evaluate quality of materials or products,3280,381a707f2810,9,0.9807692646980286,0.6202409267425537,4.551486968994141,0.2000000029802322,0.4285714328289032,0.7390948534011841,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,51,6385c0e2eb2e,recommend organizational process or policy changes,3754,db1ed3b76ab7,1,1.0751182317733765,0.7316507697105408,4.50523853302002,0.1666666716337204,0.4285714328289032,0.7253129482269287,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,52,7f83579eb5ca,maintain knowledge of current developments in area of expertise,4390,3cec85239a89,1,1.014082419872284,0.5674552321434021,3.964749336242676,0.125,0.5,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,55,4805101e52c6,monitor the productivity or efficiency of industrial operations,4149,737ad5005108,1,1.0479162216186524,0.6512701511383057,4.103024959564209,0.2000000029802322,0.2222222238779068,0.9056781530380248,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,56,269bfa3db5c6,conduct validation tests of equipment or processes,2680,a617908b172c,1,1.0399511933326722,0.6052118539810181,4.265303611755371,0.2000000029802322,0.25,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,59,da6e8742f6bf,research industrial processes or operations,350,7412df2b1db8,3,0.7932878017425538,0.4425556063652038,2.473017930984497,0.25,0.3333333432674408,0.6843618154525757,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,60,90e3d91fbf4d,design control systems for mechanical or other equipment,4659,48a87ed3f076,10,0.7691692590713501,0.5207035541534424,3.633677482604981,0.1428571492433548,0.3333333432674408,0.4645602405071258,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,64,445ae625480e,direct installation activities,3491,5e80ebd97e31,1,0.8825347900390625,0.40459805727005,2.858880043029785,0.2000000029802322,0.800000011920929,0.9376189708709716,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,64,445ae625480e,direct installation activities,2330,8310086930a5,7,0.5236366271972657,0.4196175336837768,2.9957313537597656,0.0,0.75,0.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,72,91e3b64a6f04,advise others regarding green practices or environmental concerns,4247,310c23fd2d02,1,1.1687223196029664,0.6922222971916199,5.652564525604248,0.2222222238779068,0.6666666865348816,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,80,4e4d6d43dbf9,advise others on logistics topics,1556,62317ddbee32,3,0.6859223127365113,0.282143622636795,1.2155872583389282,0.1666666716337204,1.0,0.6701500415802002,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,80,4e4d6d43dbf9,advise others on logistics topics,4841,e1b150754821,5,1.122492003440857,0.700163722038269,4.964531898498535,0.2000000029802322,0.6666666865348816,0.8590565323829651,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,81,e9ce432833f3,identify opportunities to improve operational efficiency,1719,2af2d91166d4,4,0.9102661490440368,0.4660308361053467,2.4884912967681885,0.1666666716337204,0.4285714328289032,0.9752752780914308,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,81,e9ce432833f3,identify opportunities to improve operational efficiency,2086,d3c09cf6632a,5,0.758750069141388,0.2571638226509094,0.7799112200737,0.2222222238779068,0.699999988079071,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,85,e9ceea91a9c3,analyze logistics processes,4845,537673b823b1,1,1.2908441305160523,0.8061517477035522,5.317698955535889,0.25,0.75,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,85,e9ceea91a9c3,analyze logistics processes,3227,7165fea5801a,4,1.2201197624206543,0.7317050695419312,4.715321063995361,0.25,0.75,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,87,bd28ef3a0af3,establish organizational guidelines or policies,2407,0d2971916a07,4,0.7714798927307129,0.3465037941932678,1.8146040439605715,0.1666666716337204,0.8333333134651184,0.7875275611877441,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,111,059770361813,advise others on career or personal development,1203,3fe3042b3298,1,1.2327462911605835,0.7528907656669617,5.336834907531738,0.4000000059604645,0.375,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,111,059770361813,advise others on career or personal development,351,586e3b74e618,2,1.1325351476669312,0.6790540218353271,4.736861228942871,0.4000000059604645,0.375,0.9140966534614564,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,112,6379204aa590,administer compensation or benefits programs,1585,22ab77af0930,1,1.3213813781738282,0.7944364547729492,5.739223003387451,0.5,0.6666666865348816,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,116,1cf7420e0aac,advise others on legal or regulatory compliance matters,1599,afa25b53b685,1,1.2888774156570435,0.8458795547485352,6.004589080810547,0.3333333432674408,0.3333333432674408,0.9579766392707824,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,116,1cf7420e0aac,advise others on legal or regulatory compliance matters,3872,4e4ff7039f22,2,1.2162323474884034,0.7539288401603699,5.269160270690918,0.3333333432674408,0.3333333432674408,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,121,66497e9d2189,prepare reports related to compliance matters,2696,1ffad86dae6d,5,0.9340532302856446,0.5754646062850952,4.062560558319092,0.1666666716337204,0.4285714328289032,0.7462038397789001,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,135,4055e1544ee0,assemble equipment or components,1140,d08dec64d953,5,0.7585561156272889,0.3283249139785766,1.7588871717453003,0.25,0.800000011920929,0.7618498802185059,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,135,4055e1544ee0,assemble equipment or components,5278,e8225f9a3276,7,0.6842086911201477,0.3132223486900329,1.6279280185699463,0.2000000029802322,0.800000011920929,0.7618498802185059,0,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,147,a2140782858a,design energy-efficient vehicles or vehicle components,940,e7df4121d1af,2,0.9954461932182312,0.6809893250465393,5.63228702545166,0.1428571492433548,0.375,0.6640996336936951,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,147,a2140782858a,design energy-efficient vehicles or vehicle components,1706,a81766caa389,5,0.6076843619346619,0.3545833826065063,2.58601713180542,0.125,0.625,0.380943238735199,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,154,17f9d29c543d,"explain engineering drawings, specifications, or other technical information",282,d8617ce89965,8,0.8754472613334656,0.6244489550590515,4.176822662353516,0.125,0.3333333432674408,0.4968213438987732,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,155,f6d7dbe3f71e,design structures or facilities,4100,9acc1e5cd5a6,1,1.0511156797409058,0.5695953965187073,3.8302059173583984,0.25,0.6000000238418579,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,162,957f012e4031,fabricate devices or components,3541,7f55467072cd,7,0.9541044116020204,0.4822195470333099,3.952171564102173,0.25,0.6000000238418579,0.9599880576133728,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,162,957f012e4031,fabricate devices or components,289,09156eaf9ed2,8,0.9271990537643432,0.4538981318473816,3.682064056396485,0.25,0.6000000238418579,0.9599880576133728,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,174,003763627ff4,evaluate environmental impact of operational or development activities,2999,a4a640d71221,1,1.1997280597686768,0.7348849773406982,5.08562707901001,0.2857142984867096,0.4444444477558136,1.0,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,178,78b65ab85b19,manage inventories of products or organizational resources,2874,656114a38931,2,0.8762361884117127,0.4580914676189422,2.258671998977661,0.1666666716337204,0.375,0.9149025082588196,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,187,02b0fa193387,research methods to improve food products,2067,9c7403fc6e17,4,0.6626923561096192,0.3380934000015259,2.6300313472747803,0.1428571492433548,0.5714285969734192,0.5879696011543274,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,190,c2a2570c95d4,test quality of materials or finished products,74,2d2ac038a838,3,0.938990104198456,0.5176821947097778,4.009042739868164,0.2000000029802322,0.25,0.9491202235221864,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,198,edb3d68bc36f,advise customers on technical or procedural issues,4561,7dbb7909a0ac,5,0.8093843340873719,0.4880390465259552,2.7749271392822266,0.125,0.75,0.5592780113220215,1,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,198,edb3d68bc36f,advise customers on technical or procedural issues,4558,7b0342e1d11a,6,0.6749638915061951,0.4020993411540985,2.0716323852539062,0.1111111119389534,0.75,0.5592780113220215,0,True
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,201,42bb588edac5,maintain test equipment,116,7588597f0f7f,9,0.9216391921043396,0.5124976634979248,3.382385730743408,0.2000000029802322,1.0,0.6993325352668762,1,True
