query_text,cand_text,label
update technical knowledge,direct equipment maintenance or repair activities,negative
evaluate characteristics of equipment or systems,"test performance of electrical, electronic, mechanical, or integrated systems or equipment",positive
evaluate characteristics of equipment or systems,design control systems for mechanical or other equipment,positive
evaluate characteristics of equipment or systems,research design or application of green technologies,negative
evaluate characteristics of equipment or systems,"manage operations, research, or logistics projects",negative
advise customers on the use of products or services,prepare drawings or diagrams of products or services,positive
advise customers on the use of products or services,negotiate sales or lease agreements for products or services,positive
advise customers on the use of products or services,manage scientific or technical project resources,negative
advise customers on the use of products or services,set up laboratory or field equipment,negative
"analyze operational data to evaluate operations, processes or products",analyze data to assess operational or project effectiveness,positive
"analyze operational data to evaluate operations, processes or products",conduct quantitative failure analyses of operational data,positive
"analyze operational data to evaluate operations, processes or products",administer compensation or benefits programs,negative
"analyze operational data to evaluate operations, processes or products",research methods to improve food products,negative
"develop operating strategies, plans, or procedures",develop organizational goals or objectives,positive
"develop operating strategies, plans, or procedures",develop organizational methods or procedures,positive
"develop operating strategies, plans, or procedures",repair electronic equipment,negative
"develop operating strategies, plans, or procedures",analyze biological samples,negative
direct quality control activities,evaluate designs or specifications to ensure quality,positive
direct quality control activities,test products for functionality or quality,positive
direct quality control activities,advise customers on technical or procedural issues,negative
direct quality control activities,write grant proposals,negative
document technical design details,document design or operational test results,positive
document technical design details,prepare scientific or technical reports or presentations,positive
document technical design details,respond to emergencies to provide assistance,negative
document technical design details,select project materials,negative
determine operational methods,determine operational criteria or specifications,positive
determine operational methods,determine design criteria or specifications,positive
determine operational methods,apply mathematical models of financial or business conditions,negative
determine operational methods,advise others on career or personal development,negative
prepare reports related to compliance matters,maintain regulatory or compliance documentation,positive
prepare reports related to compliance matters,review documents or materials for compliance with policies or regulations,positive
prepare reports related to compliance matters,assemble mechanical components or machine parts,negative
prepare reports related to compliance matters,plan facility layouts or designs,negative
"select tools, equipment, or technologies for use in operations or projects","evaluate potential of products, technologies, or resources",positive
"select tools, equipment, or technologies for use in operations or projects",analyze design or requirements information for mechanical equipment or systems,positive
"select tools, equipment, or technologies for use in operations or projects",develop business or market strategies,negative
"select tools, equipment, or technologies for use in operations or projects",monitor external affairs or events affecting business operations,negative
test characteristics of materials or structures,analyze test or validation data,positive
test characteristics of materials or structures,conduct validation tests of equipment or processes,positive
test characteristics of materials or structures,advise others regarding green practices or environmental concerns,negative
test characteristics of materials or structures,schedule operational activities,negative
analyze costs and benefits of proposed designs or projects,evaluate plans or specifications to determine technological or environmental implications,positive
analyze costs and benefits of proposed designs or projects,analyze green technology design requirements,positive
analyze costs and benefits of proposed designs or projects,maintain test equipment,negative
analyze costs and benefits of proposed designs or projects,"maintain inventories of materials, equipment, or products",negative
determine causes of operational problems or failures,"investigate system, equipment, or product failures",positive
determine causes of operational problems or failures,monitor operational procedures in technical environments to ensure conformance to standards,positive
determine causes of operational problems or failures,advise others on legal or regulatory compliance matters,negative
determine causes of operational problems or failures,prepare operational reports,negative
analyze data to inform operational decisions or activities,analyze data to inform personnel decisions,positive
analyze data to inform operational decisions or activities,evaluate environmental impact of operational or development activities,positive
analyze data to inform operational decisions or activities,communicate organizational policies and procedures,negative
analyze data to inform operational decisions or activities,design industrial processing systems,negative
assemble equipment or components,calibrate scientific or technical equipment,positive
assemble equipment or components,design electronic or computer equipment or instrumentation,positive
assemble equipment or components,compile operational data,negative
assemble equipment or components,confer with organizational members to accomplish work activities,negative
assess product or process usefulness,implement design or process improvements,positive
assess product or process usefulness,implement organizational process or policy changes,positive
assess product or process usefulness,coordinate with external parties to exchange information,negative
assess product or process usefulness,create graphical representations of industrial production systems,negative
"assess the cost effectiveness of products, projects, or services",investigate the environmental impact of projects,positive
"assess the cost effectiveness of products, projects, or services",estimate costs of goods or services,positive
"assess the cost effectiveness of products, projects, or services",design research studies to obtain scientific information,negative
"assess the cost effectiveness of products, projects, or services",develop procedures to evaluate organizational activities,negative
coordinate safety or regulatory compliance activities,direct design or development activities,positive
coordinate safety or regulatory compliance activities,coordinate special events or programs,positive
coordinate safety or regulatory compliance activities,create graphical representations of mechanical equipment,negative
coordinate safety or regulatory compliance activities,evaluate employee performance,negative
"cultivate micro-organisms for study, testing, or medical preparations",prepare compounds or solutions for products or testing,positive
"cultivate micro-organisms for study, testing, or medical preparations",prepare biological samples for testing or analysis,positive
"cultivate micro-organisms for study, testing, or medical preparations",design environmental control systems,negative
"cultivate micro-organisms for study, testing, or medical preparations",direct installation activities,negative
design structures or facilities,interpret design or operational test results,positive
design structures or facilities,inspect condition or functioning of facilities or equipment,positive
design structures or facilities,evaluate logistics methods to reduce environmental impact,negative
design structures or facilities,identify new applications for existing technologies,negative
establish organizational guidelines or policies,develop sustainable organizational policies or practices,positive
establish organizational guidelines or policies,monitor performance of organizational members or partners,positive
establish organizational guidelines or policies,identify opportunities for green initiatives,negative
establish organizational guidelines or policies,identify opportunities to improve operational efficiency,negative
estimate technical or resource requirements for development or production projects,estimate cost or material requirements,positive
estimate technical or resource requirements for development or production projects,monitor environmental impacts of production or development activities,positive
estimate technical or resource requirements for development or production projects,inspect operational processes,negative
estimate technical or resource requirements for development or production projects,maintain electromechanical equipment,negative
collaborate with others to develop or refine designs,collaborate on research activities with scientists or technical specialists,positive
collaborate with others to develop or refine designs,develop new or advanced products or production methods,positive
collaborate with others to develop or refine designs,inspect condition of natural environments,negative
collaborate with others to develop or refine designs,maintain knowledge of current developments in area of expertise,negative
monitor organizational procedures to ensure proper functioning,monitor the productivity or efficiency of industrial operations,positive
monitor organizational procedures to ensure proper functioning,monitor processes for compliance with standards,positive
monitor organizational procedures to ensure proper functioning,classify organisms based on their characteristics or behavior,negative
monitor organizational procedures to ensure proper functioning,design energy-efficient vehicles or vehicle components,negative
install production equipment or systems,fabricate products or components using machine tools,positive
install production equipment or systems,inspect facilities or sites to determine if they meet specifications or standards,positive
install production equipment or systems,communicate organizational information to customers or other stakeholders,negative
install production equipment or systems,"analyze jobs using observation, survey, or interview techniques",negative
maintain data in information systems or databases,operate computer systems,positive
maintain data in information systems or databases,prepare operational progress or status reports,positive
maintain data in information systems or databases,"negotiate contracts for transportation, distribution, or logistics services",negative
maintain data in information systems or databases,collect samples of raw materials or finished products,negative
investigate industrial or transportation accidents,resolve operational performance problems,positive
investigate industrial or transportation accidents,"establish standards for products, processes, or procedures",positive
investigate industrial or transportation accidents,liaise between departments or other groups to improve function or communication,negative
investigate industrial or transportation accidents,evaluate new technologies or methods,negative
